event01_30_08.bytes,,Omega,"I'll try some of this too, why not",NOTES
index,chara,jp,en,
29,,六軒島で過ごす最後の夜……。,That final night on Rokkenjima...,
30,,"　最高のディナーを心から満喫して、胸もお腹も幸せでいっぱいに
して眠れるはずだったんだ……。",I was supposed to sleep soundly with my chest and stomach full of happiness after the most wonderful dinner...,
33,？？？？,"食後のお飲み物ですが、コーヒー、紅茶、塩昆布茶の用意がござい
ますが、如何なさいますか？","What kind of after-dinner beverages would you like? We have coffee, black tea, salted kelp tea...",
36,ヱリカ,……………………。,........................,
40,Mion (Casual),………………………。,...........................,
45,詩音 (Casual),……あ、私は紅茶、ホットで。,"Um, I'll have hot black tea.",
47,Nao (Casual),それ以外の人も、みんな温かい紅茶をお願いします。,"Bring some warm black tea for everyone else, please.",
52,？？？？,か、畏まりました……。,A-as you wish...,
53,,"　この重い空気は、魅音さんがヱリカさんの自作自演を疑ったから
に他ならない。","The atmosphere was heavy, ever since Mion-san exposed Erika-san's charades.",
54,,"　少なくとも、昨日の悪戯の犯人は、ほぼ間違いなくヱリカさん
だ。","At the very least, the culprit behind yesterday's prank was definitely Erika-san.",
55,,"　そしてヱリカさんも、自分が一番に疑われていることをすでに
知っている。",And Erika-san already knew she was the first to be suspected.,
59,Nao (Casual),"だから……、自作自演して、自分は犯人ではないとアピール……す
るかしら……。",Yet you claim you *weren't* acting?,
61,ヱリカ,そんなことしないですッ。あの魔法陣は私じゃありませんッ！,I would never do such a thing. I didn't make that magic circle!,
63,Nao (Casual),"わかってるわ。……これがあなたの自作自演なのだとしたら、……
あまりにセンスがないわ。","Okay, let's say you weren't acting...that still wasn't very tasteful.",
65,ヱリカ,…………ふん。,...Hmph.,
70,,……その時、少しだけ辺りが薄暗くなった気がした。,"...At that moment, I felt my surroundings growing dim.",
74,,"　え？　……魅音さんと詩音さんが、……すぅっと、蜃気楼か何か
のように消えていく。",Huh? Mion.san and Shion-san are disappearing like a mirage...,
75,,"　ヱリカさんとあたしはそのまま。
　そして、魅音さんと詩音さんが消えた席に、………あの、夢の中
の魔女たちの姿が……。","Erika-san and I remained. In place of where Mion-san and Shion-san vanished...wait, those witches appeared in my dreams...",
82,ベアトリーチェ,"ハァッピーバースデー！！！　おめでとう自分！　ありがとうみん
な！　妾は幸せ者であるぞー！！","<Happy Birthday!!!> Well done! And thank you very much, everyone! I truly am a lucky person!",
89,,"　パチパチパチパチ！！！　姿の見えない大観衆が祝福してくれる
かのような音が響き渡った。",*clap*clap*clap! I heard the resounding applause and congratulations of an invisible audience.,
93,ベアトリーチェ,"どうだぁ、菜央ォ？！　今夜でお別れだぜぇ？　２つ目の魔法陣も
楽しんで行ってくれよぉ！","How's that, Nao? This is your final night, right? Hope you enjoyed looking at that second magic circle!",
95,Nao (Casual),……いつの間にか、あたしは夢の中なの……？,...did I somehow enter a dream?,
